timestamp,pm2_5,pm10,us_aqi,hour,day,month,day_of_week
2025-10-01 00:00:00,26.9,27.0,89,0,1,10,2
2025-10-01 01:00:00,24.8,24.9,88,1,1,10,2
2025-10-01 02:00:00,23.1,23.2,86,2,1,10,2
2025-10-01 03:00:00,22.1,22.2,85,3,1,10,2
2025-10-01 04:00:00,21.7,21.7,84,4,1,10,2
2025-10-01 05:00:00,18.8,18.9,83,5,1,10,2
2025-10-01 06:00:00,19.3,19.4,81,6,1,10,2
2025-10-01 07:00:00,22.2,22.4,79,7,1,10,2
2025-10-01 08:00:00,22.2,22.3,78,8,1,10,2
2025-10-01 09:00:00,14.8,15.0,77,9,1,10,2
2025-10-01 10:00:00,11.7,12.5,75,10,1,10,2
2025-10-01 11:00:00,11.0,12.9,73,11,1,10,2
2025-10-01 12:00:00,10.4,12.5,72,12,1,10,2
2025-10-01 13:00:00,9.7,11.5,71,13,1,10,2
2025-10-01 14:00:00,9.2,10.6,70,14,1,10,2
2025-10-01 15:00:00,8.7,9.9,69,15,1,10,2
2025-10-01 16:00:00,8.2,9.2,69,16,1,10,2
2025-10-01 17:00:00,14.5,17.3,68,17,1,10,2
2025-10-01 18:00:00,17.0,19.0,76,18,1,10,2
2025-10-01 19:00:00,17.6,19.4,75,19,1,10,2
2025-10-01 20:00:00,17.1,18.7,65,20,1,10,2
2025-10-01 21:00:00,16.2,17.8,64,21,1,10,2
2025-10-01 22:00:00,15.4,16.7,62,22,1,10,2
2025-10-01 23:00:00,14.2,15.4,61,23,1,10,2
2025-10-02 00:00:00,12.6,13.9,60,0,2,10,3
2025-10-02 01:00:00,11.3,12.9,58,1,2,10,3
2025-10-02 02:00:00,11.0,13.0,57,2,2,10,3
2025-10-02 03:00:00,11.4,13.4,56,3,2,10,3
2025-10-02 04:00:00,11.5,13.4,55,4,2,10,3
2025-10-02 05:00:00,12.6,14.3,54,5,2,10,3
2025-10-02 06:00:00,13.3,15.2,54,6,2,10,3
2025-10-02 07:00:00,16.4,18.5,53,7,2,10,3
2025-10-02 08:00:00,18.4,21.5,53,8,2,10,3
2025-10-02 09:00:00,15.1,21.7,52,9,2,10,3
2025-10-02 10:00:00,13.1,19.3,52,10,2,10,3
2025-10-02 11:00:00,12.1,17.4,52,11,2,10,3
2025-10-02 12:00:00,11.2,15.9,53,12,2,10,3
2025-10-02 13:00:00,10.3,14.8,53,13,2,10,3
2025-10-02 14:00:00,9.5,14.1,53,14,2,10,3
2025-10-02 15:00:00,8.7,13.2,53,15,2,10,3
2025-10-02 16:00:00,8.4,12.6,53,16,2,10,3
2025-10-02 17:00:00,10.6,15.9,53,17,2,10,3
2025-10-02 18:00:00,11.5,15.5,52,18,2,10,3
2025-10-02 19:00:00,13.4,16.1,52,19,2,10,3
2025-10-02 20:00:00,12.7,14.8,52,20,2,10,3
2025-10-02 21:00:00,11.6,13.3,51,21,2,10,3
2025-10-02 22:00:00,10.7,12.1,51,22,2,10,3
2025-10-02 23:00:00,9.8,10.9,50,23,2,10,3
2025-10-03 00:00:00,8.6,9.4,50,0,3,10,4
2025-10-03 01:00:00,7.5,8.1,49,1,3,10,4
